0,0 arabic
พั,pan maihanagus
พัฒ,pat(evolution)
พัน,pan(thousand)
พิ,pi (pised special)
พิ่,pan sarai maiake
พื่,paulpanandsaraeuaandmaiake
พื้น,peuan(floor)
พุ,pu
ฟ,for fun
ฟ้,fun toe
ภ,por sampao
ภั,sampao hanagas
ภัก,pak sampao
ภิ,sampao sarai
ม,mor mar
ม่,mormarandmaiake
มใ,mor maimoen
มไ,mah malai
มั,moe maihanagas
มัค,muk11
มั่ง,mung(mungkung)
มัติ,mut11
มั่น,mun(stable)
มิ,mormar sarai
มิไ,mah sarai maimoen
มี,mee(have)
มื,mormar sarauea
มื่,muuu111
มุ,mar sarau
มุ,mar sarau
ย,yor yak
ย์,yak karan
ย่,yakmaiake
ย้,yak toe
ยโ,yak oe
ย์โ,yak karan oe
ยใ,yokyak maimoen
ย์ใ,yak karan meon
ย์ใ,yak karan meon
ยไ,yoryaksaraaimaimalai
ย์ไ,yak karun malai
ย้ง,yong maitoe
ยั,yak hanagus
ยัง,young(not yet)
ยั่ง,yung(yungyuean)
ยั่ง,yung(yungyuean)
ยังไ,young maimalai
ยิ่,yakimaiake
ยื,yyy77
ยุ,yu
ยู่,yuu
ร,ror rua
ร์,rrr11
ร็,rua maitaikoo
ร่,rorruaandmaiake
ร้,rorruaandmaitoe
รใ,rorruamaimoen
รให้,ruahai(rua+give)
รไ,rorruaandmaimarai
รั,rua hanagas
รัก,rak(love)
รัช,ratch
รัฐ,rat(state)
รัฐวิ,rrrr55
รัต,rat(ratana)
รับ,rub(recived)
รับ,rub(recived)
รัส,rrrr556
ร้า,raa maitoe
ริ,ri(rua)
รี,ree
รึ,reu
รื,reuarua
รื่,rua saraeua maiake
รุ,rua sarau
รู,roo (hole)
รู้,ruu(know)
รู้,ruu(know)
ฤ,ff
ล,lor ling
ล่,lingandmaiake
ล้,ling maitoe
ลํ,lum
ลํ,lum
ล้ว,ling maitoe van
ลั,lingmaihanagas
ลัก,lak(steel)
ลัง,lung2
ล้า,la2
ลื,ling saraeua
ลื่,ling saraeua maiake
ลุ,lu(lorlingsarau)
ว,vor van
ว่,vanmaiake
ว้,vanmaitoe
ว้ใ,w4
วไ,vanmaimalai
วไท,w2
ว้ซึ่,yan toe so saraee ake
ว้น,w3
วัน,wan(day)
วัส,van hanagus sua
ว้า,van maitoe sara ar
วิ,vansarai
วุ,van sarau
วุ,van sarau
ศ,sor sala
ศ์,sala karan
ศใ,sala maimoen
ศั,saraandmaihunargas
ศัก,sak
ศัย,sala hun yak
ศี,sala saraee
ศุ,sala sarau
ษ,sor leausi
ษ์,leausi karan
ษฎ,leausi patak
ษฎี,leausi chada saraee
ษฐ,leausi thothan
ษั,leausi hanagas
ษัต,leausi sat
ส,sor sua
ส่,suamaiake
สํ,sumsua(sumkan)
สโ,s1
สใ,sua mai moen
สรี,suaruaee
สั,sua hanagus
สัก,sak (rare wood)
สัง,sungsua
สัต,sutsua
สัต,sutsua
สัน,sun sua
สัม,sumsua(sumpan)
สิ,sisua
สี,see
สื,sua saraeua
สื่,sua saraeua maiake
สื่,sua saraeua maiake
สุ,susua
สู,sua soo
ห,hor heab
ห็,heeb maitaikoo
ห่,heebandmaiake
ห้,heebmaitoe
ห้ใ,heeb toe meon
ห้ค,heeb maitoe kwai
ห้ค,heeb maitoe kwai
ห้ต,h1
ห้น,h2
ห้นํ,h3
หนึ่,heeb noo saraeua maiake
ห้ป,heebmaitoepla
ห้มี,heebandmaitoeandme
หรื,heeb rua saraeu
ฬ,lor chula
อ,or ang
อํ,um(or ang sara um)
อใ,orandmaimol
อไ,o4
อั,or hanagas
อัค,o1
อัญ,un ying
อัธ,o2
อัน,un
อันใ,un + maimoen
อันใ,un + maimoen
อํา,o3
อำ,(com)um
อิ,i(or ang sara i)
อี,ee (edok)
อื่,or and eua and maiake
ฮ,hor nokhook
ะ,sara a
ะไ,sara a maimalai
า,sara ar
าใ,sara ar maimoen
าไ,sara ar maimalai
ๆ,yamock
