class,precision,recall,f1_score,support
    ลื, 1.00,0.33,0.50,   3
    ลู, 0.00,0.00,0.00,   1
    ล่, 1.00,0.50,0.67,   2
    ล้, 0.00,0.00,0.00,   0
     ว, 1.00,1.00,1.00,  26
    วิ, 1.00,0.25,0.40,   4
    ว่, 0.67,1.00,0.80,   2
    ว้, 0.67,1.00,0.80,   4
   ว้น, 1.00,1.00,1.00,   1
   ว้ใ, 0.00,0.00,0.00,   2
     ศ, 1.00,1.00,1.00,   7
   ศัก, 1.00,1.00,1.00,   1
    ศึ, 0.00,0.00,0.00,   1
     ษ, 0.80,1.00,0.89,   4
    ษฐ, 1.00,1.00,1.00,   1
    ษา, 0.00,0.00,0.00,   1
     ส, 0.93,1.00,0.96,  27
   สัง, 0.00,0.00,0.00,   1
  สั่ง, 0.00,0.00,0.00,   1
    สิ, 1.00,0.93,0.96,  14
    สี, 1.00,1.00,1.00,   1
    สื, 0.00,0.00,0.00,   0
   สื่, 0.00,0.00,0.00,   0
    สุ, 1.00,1.00,1.00,   1
    สู, 0.00,0.00,0.00,   1
   สู้, 0.00,0.00,0.00,   1
    ส่, 0.67,1.00,0.80,   2
     ห, 1.00,1.00,1.00,  58
   หรื, 1.00,1.00,1.00,   2
    ห็, 1.00,1.00,1.00,   1
    ห่, 0.67,1.00,0.80,   2
    ห้, 0.67,1.00,0.80,   4
   ห้ใ, 0.00,0.00,0.00,   1
     อ, 0.98,1.00,0.99,  82
   อัน, 1.00,1.00,1.00,   1
  อันไ, 0.00,0.00,0.00,   1
    อิ, 0.00,0.00,0.00,   0
   อื่, 0.80,0.80,0.80,   5
    อุ, 0.00,0.00,0.00,   1
    อใ, 0.50,1.00,0.67,   1
    อํ, 0.50,1.00,0.67,   1
     ะ, 0.97,1.00,0.98,  31
     ั, 0.00,0.00,0.00,   1
     า, 0.96,1.00,0.98, 155
     ี, 0.00,0.00,0.00,   1
     เ, 0.98,1.00,0.99, 118
  เงื่, 0.00,0.00,0.00,   2
  เชื่, 0.00,0.00,0.00,   1
  เรื่, 0.00,0.00,0.00,   1
     โ, 1.00,1.00,1.00,   3
     ใ, 1.00,1.00,1.00,  13
     ไ, 1.00,1.00,1.00,  29
     ่, 0.00,0.00,0.00,   1
     ้, 1.00,1.00,1.00,   1
     ๐, 1.00,1.00,1.00,   2
     ๑, 1.00,1.00,1.00,   1
     ๒, 1.00,1.00,1.00,   4
     ๓, 1.00,1.00,1.00,   1
     ๔, 1.00,1.00,1.00,   2
    ๕๖, 1.00,1.00,1.00,   1
     ๖, 1.00,1.00,1.00,   2
     ๗, 1.00,1.00,1.00,   1
     ๘, 1.00,1.00,1.00,   2
